id,x,y
540,1612803.38,4842154.32
541,1612804.02,4841426.46
542,1612804.91,4841259.64
543,1612805.83,4840819.842
544,1612809.102,4841677.126
545,1612809.3,4841182.24
546,1612810.309,4841186.222
547,1612810.83,4840625.1
548,1612811.731,4841256.493
549,1612812.27,4841440
550,1612812.73,4841791.51
551,1612814.928,4840833.111
552,1612816.81,4840167.63
553,1612817.377,4840765.531
554,1612818.05,4841217
555,1612820.797,4841116.707
556,1612821.21,4841428.54
557,1612822.08,4841457.388
558,1612823.47,4841435.75
559,1612824.027,4840814.914
560,1612824.21,4841820.8
561,1612824.348,4841125.531
562,1612826.21,4841886.45
563,1612827.352,4841778.953
564,1612827.46,4840477.08
565,1612827.58,4841366.77
566,1612827.815,4841481.306
567,1612828.63,4840978.56
568,1612829,4841394.21
569,1612829.351,4841779.865
570,1612829.896,4840190.699
571,1612831.312,4842166.635
572,1612831.401,4841250.685
573,1612832.557,4840839.745
574,1612834.38,4841473.39
575,1612835.261,4841495.387
576,1612835.986,4841183.82
577,1612836.156,4841275.216
578,1612837.514,4842135.794
579,1612840.37,4841418.38
580,1612841.087,4840811.502
581,1612842.72,4841518.63
582,1612843.731,4841108.055
583,1612845.7,4841120.73
584,1612845.802,4840155.488
585,1612846.4,4840684.65
586,1612847.329,4841678.71
587,1612847.445,4841649.213
588,1612848.59,4841469.28
589,1612850.85,4840227.64
590,1612852.014,4840164.376
591,1612852.12,4840704.04
592,1612852.839,4840810.364
593,1612853.421,4840179.288
594,1612853.761,4841649.534
595,1612854.423,4841779.544
596,1612856.469,4840834.052
597,1612858.85,4841464.56
598,1612858.857,4840230.689
599,1612860.36,4841637.343
600,1612860.56,4841958.57
601,1612860.75,4841363.9
602,1612860.82,4841238.93
603,1612861.7,4840551.36
604,1612862.62,4841577.54
605,1612863.72,4841099.53
606,1612865.379,4840147.636
607,1612865.66,4841507.97
608,1612866.13,4841465.65
609,1612867.34,4842482.07
610,1612868.91,4841180.79
611,1612870.18,4841409.02
612,1612871.76,4842166.65
613,1612872.18,4840081.55
614,1612872.33,4840964.48
615,1612873.62,4841128.29
616,1612877.3,4842005.53
617,1612877.6,4841568.79
618,1612879.933,4841613.319
619,1612880.84,4842100.68
620,1612882.625,4840827.417
621,1612884.77,4841501.34
622,1612885.456,4842106.262
623,1612885.54,4841406.03
624,1612886.41,4840843.13
625,1612887.59,4841090.66
626,1612887.748,4842126.24
627,1612887.832,4841545.757
628,1612889.52,4841554.35
629,1612890.56,4841212.22
630,1612891.111,4841648.813
631,1612894.22,4840224.609
632,1612894.28,4840075.63
633,1612895.489,4840845.432
634,1612895.98,4840628.74
635,1612896.35,4841125.18
636,1612896.351,4841434.209
637,1612896.58,4840085.74
638,1612896.58,4841161.98
639,1612898.84,4841203.56
